id,pid,ms_subclass,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_val,mo_sold,yr_sold,sale_type,saleprice,test_set,central_air_dum,porch,log_saleprice,log_lot_area,log_1st_flr_sf,log_gr_liv_area,dum_nh_Blueste,dum_nh_BrDale,dum_nh_BrkSide,dum_nh_ClearCr,dum_nh_CollgCr,dum_nh_Crawfor,dum_nh_Edwards,dum_nh_Gilbert,dum_nh_Greens,dum_nh_GrnHill,dum_nh_IDOTRR,dum_nh_Landmrk,dum_nh_MeadowV,dum_nh_Mitchel,dum_nh_NAmes,dum_nh_NPkVill,dum_nh_NWAmes,dum_nh_NoRidge,dum_nh_NridgHt,dum_nh_OldTown,dum_nh_SWISU,dum_nh_Sawyer,dum_nh_SawyerW,dum_nh_Somerst,dum_nh_StoneBr,dum_nh_Timber,dum_nh_Veenker,dum_zone_C (all),dum_zone_FV,dum_zone_I (all),dum_zone_RH,dum_zone_RL,dum_zone_RM,dum_cond1_Feedr,dum_cond1_Norm,dum_cond1_PosA,dum_cond1_PosN,dum_cond1_RRAe,dum_cond1_RRAn,dum_cond1_RRNe,dum_cond1_RRNn,dum_found_CBlock,dum_found_PConc,dum_found_Slab,dum_found_Stone,dum_found_Wood,dum_misc_Elev,dum_misc_Gar2,dum_misc_Othr,dum_misc_Shed,dum_misc_TenC,dum_elect_FuseF,dum_elect_FuseP,dum_elect_Mix,dum_elect_SBrkr,dum_gartype_2Types,dum_gartype_Attchd,dum_gartype_Basment,dum_gartype_BuiltIn,dum_gartype_CarPort,dum_gartype_Detchd
109,533352170,60,0,13517,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,2Story,6,8,1976,2005,Gable,CompShg,HdBoard,Plywood,BrkFace,289.0,4,3,TA,3,No,GLQ,533.0,Unf,0.0,192.0,725.0,GasA,Ex,Y,725,754,0,1479,0.0,0.0,2,1,3,1,4,6,7,0,0,1976.0,2,2.0,475.0,3,3,Y,0,44,0,0,0,0,0,0,0,3,2010,WD ,130500,False,1,44,11.779128505744886,9.511703431483827,6.586171654854675,7.2991214627108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
544,531379050,60,43.0,11492,Pave,0,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,1Fam,2Story,7,5,1996,1997,Gable,CompShg,VinylSd,VinylSd,BrkFace,132.0,4,3,Gd,3,No,GLQ,637.0,Unf,0.0,276.0,913.0,GasA,Ex,Y,913,1209,0,2122,1.0,0.0,2,1,4,1,4,8,7,1,3,1997.0,2,2.0,559.0,3,3,Y,0,74,0,0,0,0,0,0,0,4,2009,WD ,220000,False,1,74,12.301382825334498,9.34940642009918,6.816735880594968,7.660114319173928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
153,535304180,20,68.0,7922,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,4,TA,3,No,GLQ,731.0,Unf,0.0,326.0,1057.0,GasA,TA,Y,1057,0,0,1057,1.0,0.0,1,0,3,1,4,5,7,0,0,1953.0,1,1.0,246.0,3,3,Y,0,52,0,0,0,0,0,0,0,1,2010,WD ,109000,False,1,52,11.59910316121128,8.977398978181862,6.963189985870238,6.963189985870238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
318,916386060,60,73.0,9802,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,2Story,5,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Gd,3,No,Unf,0.0,Unf,0.0,384.0,384.0,GasA,Gd,Y,744,700,0,1444,0.0,0.0,2,1,3,1,3,7,7,0,0,2007.0,3,2.0,400.0,3,3,Y,100,0,0,0,0,0,0,0,0,4,2010,WD ,174000,False,1,100,12.066810578196666,9.190341725469493,6.612041034833092,7.275172319452771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
255,906425045,50,82.0,14235,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1.5Fin,6,8,1900,1993,Gable,CompShg,Wd Sdng,Plywood,None,0.0,3,3,Fa,4,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,TA,Y,831,614,0,1445,0.0,0.0,2,0,3,1,3,6,7,0,0,1957.0,1,2.0,484.0,3,3,N,0,59,0,0,0,0,0,0,0,3,2010,WD ,138500,False,1,59,11.83862560460953,9.563458999712138,6.7226297948554485,7.275864600546533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
138,535126040,20,137.0,16492,Pave,0,IR1,Lvl,AllPub,Corner,Gtl,Norm,1Fam,1Story,6,6,1966,2002,Gable,CompShg,BrkFace,Plywood,None,0.0,4,3,TA,3,No,ALQ,247.0,Rec,713.0,557.0,1517.0,GasA,Ex,Y,1888,0,0,1888,0.0,0.0,2,1,2,1,4,6,4,1,4,1966.0,3,2.0,578.0,3,3,Y,0,0,0,0,0,0,0,0,0,6,2010,WD ,190000,False,1,0,12.154779351142624,9.71063069382679,7.543273346705446,7.543273346705446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
2827,908186070,180,35.0,3675,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Norm,TwnhsE,SFoyer,6,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,82.0,3,3,Gd,3,Gd,GLQ,547.0,Unf,0.0,0.0,547.0,GasA,Gd,Y,1072,0,0,1072,1.0,0.0,2,0,2,1,3,5,7,0,0,2005.0,3,2.0,525.0,3,3,Y,0,44,0,0,0,0,0,0,0,6,2006,New,140000,False,1,44,11.84939770159144,8.209308411646937,6.977281341630747,6.977281341630747,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
145,535154050,20,0,12160,Pave,0,IR1,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,Plywood,Plywood,BrkFace,180.0,3,3,TA,3,No,Rec,1000.0,Unf,0.0,188.0,1188.0,GasA,Fa,Y,1188,0,0,1188,1.0,0.0,1,0,3,1,3,6,7,0,0,1959.0,2,2.0,531.0,3,3,Y,0,0,0,0,0,0,0,1,0,5,2010,COD,142000,False,1,0,11.863582336583399,9.405907155520158,7.080026499922591,7.080026499922591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1942,535353130,20,0,15783,Pave,0,Reg,Lvl,AllPub,Inside,Gtl,Norm,1Fam,1Story,5,5,1952,1952,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,3,3,TA,3,No,Rec,292.0,Unf,0.0,632.0,924.0,GasA,TA,Y,924,0,0,924,0.0,0.0,1,0,2,1,3,6,7,0,0,1952.0,1,1.0,420.0,3,3,Y,0,324,0,0,0,0,0,1,400,6,2007,WD ,112500,False,1,324,11.630708500626612,9.666688690398917,6.828712071641684,6.828712071641684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
1956,535426130,60,70.0,11606,Pave,0,IR1,HLS,AllPub,Inside,Sev,Norm,1Fam,2Story,5,5,1969,1969,Gable,CompShg,Plywood,Plywood,BrkFace,192.0,3,3,Gd,3,Av,Rec,650.0,Unf,0.0,390.0,1040.0,GasA,TA,Y,1040,1040,0,2080,0.0,1.0,1,2,5,1,2,9,7,2,3,1969.0,1,2.0,504.0,3,3,Y,335,0,0,0,0,0,0,0,0,9,2007,WD ,135000,False,1,335,11.813030057420567,9.359277484750553,6.946975992135418,7.640123172695364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
